five_tup,flow_pktlen
"['10.208.8.65', '202.89.233.96', 65198, 443, 6]","[21, -32]"
"['10.208.8.65', '220.181.107.131', 65516, 443, 6]","[32, -32, 20, 537, -20, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]"
"['10.208.8.65', '220.181.107.131', 65517, 443, 6]","[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20, 1222, -20, -344, 20]"
"['10.208.8.65', '220.181.107.131', 65518, 443, 6]","[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]"
"['10.208.8.65', '220.181.107.131', 65519, 443, 6]","[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]"
"['10.208.8.65', '220.181.107.131', 65520, 443, 6]","[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]"
"['10.208.8.65', '34.233.84.80', 65524, 443, 6]","[32, -32, 20, 537, -20, -133, -4400, -595, 20, -358, -29, 20, 146, 125, 440, -32, -20, -20, -140, -71, 20, -98, 58, -8780, -1076, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2400:89c0:1053:3::51', 65337, 443, 6]","[21, -32]"
"['2001:da8:1002:a000::6:a3cf', '240e:978:a07:2:3::3c8', 65356, 443, 6]","[21, -32]"
"['2001:da8:1002:a000::6:a3cf', '240e:bf:c800:2911:3::3e2', 65408, 443, 6]","[21, -32]"
"['10.208.8.65', '10.80.128.28', 49191, 53, 6]","[32, -28, 20, 22, 48, -20, -20, -141, 20, -20, 20]"
"['10.208.8.65', '10.80.128.28', 49192, 53, 6]","[32, -28, 20, 22, 48, -20, -20, -125, 20, -20, 20]"
"['10.208.8.65', '20.42.73.24', 65390, 443, 6]","[1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, 1460, 1332, -20, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 635, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 652, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 1460, 1460, 364, -20, -20, -20, -20, -20, -32, 1460, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1117, 1460, 1460, 1460, 1460, 1460, 1460, 1460, 1460, 984, -20, -20, -20, -20, -20, -20, -20, -918, 20]"
"['10.208.8.65', '202.89.233.96', 49201, 443, 6]","[32, -32, 20, 537, -20, -4400, -1350, 20, 178, -20, -362, -89, 20]"
"['10.208.8.65', '202.89.233.96', 65198, 443, 6]","[1460, 1460, 1460, 1460, 910, 66, -20, -20, -20, -20, -20, -66, 20, -1480, -1480, -828, -106, 20, -1480, -1480, -1234, -493, -2940, -1178, -108, -1480, -1480, -1234, -1000, -1480, -1480, -1178, -108, 20, -1480, -1480, 20, -1234, -1480, -1480, 20, -1178, -108, -1480, -1480, 20, -1234, -70, -1480, -1480, -1178, -108, -1480, -1480, 20, -1232, -1480, -1480, -1178, -108, -1480, -1480, 20, -1234, -72, -1480, -1480, 20, -1178, -108, -1480, -1480, -1232, -1480, -1480, 20, -1178, -108, -2940, -401, -58, 20, 62, -20, 1460, 1460, 1460, 1460, 799, -20, -10240, 20, -13160, -206, -58, 20, 1460, 1460, 1460, 1460, 1460, 1460, 268, -20, -20, -20, -20, -32, 1460, -20, -17540, 20, -16080, -39, 20, -21920, 20, -10240, -773, -7320, 20, -1480, -130, -58, 20, 1460, 1460, 1460, 1460, 799, -20, -20, -20, -20, -1403, -58, 20, 1460, 1460, 1460, 1460, 605, -20, -20, -20, -20, -453, -58, 20, 1460, 1460, 1460, 1460, 1460, 398, 1460, 450, -20, -20, -2940, -429, 20]"
"['10.208.8.65', '20.42.73.24', 65423, 443, 6]","[1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, -20, 1460, 340, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1163, 1460, 1460, 1460, 1460, 112, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 1460, 1138, -20, -20, -20, -20, -20, -20, -918, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 615, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 1021, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 840, -20, -20, -20, -20, -32, 1460, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 925, -20, -20, -20, -20, -20, -948, 20, 20, -20]"
